=== start 19:51:02 ===
[1/139] OK BabyMix/2022/12 (79 MB, 4 file)
[119/139] OK Baby1/2024/05 (44 MB, 5 file)
[120/139] OK Baby1/2024/06 (58 MB, 10 file)
[121/139] OK Baby1/2024/07 (31 MB, 3 file)
[122/139] OK Baby1/2024/09 (23 MB, 2 file)
[123/139] OK Baby1/2024/10 (111 MB, 8 file)
[124/139] OK Baby1/2024/11 (2 MB, 1 file)
[125/139] OK Baby1/2025/01 (1 MB, 1 file)
[126/139] OK Baby1/2025/02 (6 MB, 3 file)
[127/139] OK Baby1/2025/03 (2 MB, 1 file)
[128/139] OK Baby1/2025/05 (23 MB, 1 file)
[129/139] OK Baby1/2025/06 (5 MB, 2 file)
[130/139] OK Baby1/2025/07 (1 MB, 1 file)
[131/139] OK Baby1/2025/08 (8 MB, 2 file)
[132/139] OK Baby1/2025/09 (4 MB, 1 file)
[133/139] OK Baby1/2025/10 (67 MB, 4 file)
[134/139] OK Baby1/2025/11 (136 MB, 5 file)
[135/139] OK Baby1/2025/12 (3 MB, 1 file)
[136/139] OK Baby1/2026/02 (7 MB, 1 file)
[137/139] OK Baby1/2026/03 (3 MB, 2 file)
[138/139] OK Baby1/2026/04 (11 MB, 2 file)
[139/139] OK Baby1/2026/06 (1 MB, 1 file)
=== ALL DONE 139/139 ===
